anios	trabajo	estado	contacto	mes	dia	cambios	problemas	cantidad
52	administrator	single	cellular	aug	wed	138	3	5228.1
49	teacher	divorced	telephone	may	mon	742	2	5191
25	teacher	single	cellular	jul	wed	322	2	5228.1
27	administrator	single	telephone	oct	tue	540	1	5195.8
44	administrator	married	cellular	aug	wed	113	1	5076.2
31	teacher	married	telephone	jul	thu	317	2	5228.1
51	teacher	divorced	cellular	jul	tue	61	1	5228.1
41	teacher	married	telephone	may	tue	592	1	5191
59	retired	married	cellular	aug	wed	160	3	5228.1
34	technician	married	cellular	nov	tue	110	1	5195.8
57	retired	married	cellular	aug	fri	27	6	5228.1
39	administrator	single	cellular	aug	thu	216	2	5228.1
43	teacher	single	telephone	jul	thu	28	4	5228.1
49	housemaid	married	telephone	may	thu	565	1	5191
26	administrator	married	cellular	jul	thu	125	2	5228.1
38	teacher	divorced	cellular	may	thu	282	1	5099.1
48	administrator	married	cellular	nov	fri	664	3	5195.8
30	administrator	married	telephone	may	thu	72	7	5099.1
36	administrator	married	cellular	jul	wed	570	2	5228.1
54	retired	married	telephone	may	mon	596	1	5191
58	unknown	married	cellular	aug	tue	645	10	5228.1
33	technician	single	telephone	may	wed	127	1	5191
33	independent	married	telephone	jun	thu	271	1	5228.1
33	management	married	telephone	may	fri	127	1	5191
33	entrepreneur	single	cellular	mar	fri	373	1	5008.7
49	entrepreneur	married	telephone	nov	mon	118	1	5195.8
50	services	married	cellular	may	tue	116	1	5099.1
31	teacher	single	cellular	may	wed	55	2	5099.1
55	housemaid	married	telephone	jun	tue	441	3	5228.1
33	administrator	married	cellular	nov	tue	318	2	5017.5
36	teacher	married	cellular	apr	thu	90	1	5099.1
27	administrator	single	cellular	jun	tue	421	2	4991.6
50	management	married	cellular	oct	thu	305	2	5017.5
47	administrator	married	telephone	jun	fri	9	7	5228.1
31	student	single	cellular	apr	fri	183	1	5008.7
32	technician	single	telephone	may	mon	28	1	5099.1
35	technician	married	cellular	may	mon	90	1	5099.1
28	technician	single	telephone	may	wed	43	1	5099.1
40	teacher	married	cellular	jul	mon	56	4	5228.1
32	management	married	telephone	may	tue	64	3	5191
42	technician	married	telephone	jun	fri	4	20	5228.1
39	management	married	telephone	jun	fri	601	5	5228.1
45	administrator	married	telephone	may	wed	215	2	5191
29	teacher	single	cellular	jul	tue	262	1	5228.1
37	services	married	cellular	nov	wed	54	4	5017.5
49	administrator	married	cellular	sep	fri	110	6	4963.6
31	technician	single	cellular	aug	tue	367	1	5228.1
26	teacher	single	cellular	may	fri	191	2	5099.1
42	teacher	married	telephone	may	wed	191	4	5191
54	administrator	married	cellular	aug	tue	243	3	5228.1
41	management	married	cellular	nov	fri	129	2	5017.5
51	entrepreneur	married	cellular	oct	tue	626	1	5017.5
55	retired	married	cellular	jul	wed	628	1	5228.1
27	student	single	cellular	may	tue	91	1	5099.1
57	teacher	married	telephone	may	mon	80	2	5191
33	administrator	married	telephone	may	fri	730	2	5191
56	teacher	married	telephone	may	fri	342	1	5191
32	administrator	married	cellular	jul	wed	173	3	5228.1
35	teacher	married	cellular	may	tue	178	1	5099.1
36	management	married	telephone	jun	mon	192	1	5076.2
44	technician	married	telephone	may	thu	160	1	5191
52	technician	married	cellular	aug	tue	131	2	5228.1
45	administrator	married	cellular	sep	tue	55	6	5017.5
52	administrator	married	cellular	aug	wed	139	1	5228.1
38	administrator	married	telephone	jun	thu	1411	1	5228.1
41	technician	divorced	cellular	aug	fri	167	1	5228.1
32	independent	married	telephone	jun	thu	178	1	5228.1
30	administrator	single	cellular	aug	tue	365	1	5228.1
41	teacher	married	telephone	jun	mon	259	2	5228.1
28	student	single	cellular	mar	tue	320	1	5099.1
54	teacher	married	cellular	may	mon	50	1	5099.1
45	management	married	cellular	may	mon	305	1	5099.1
31	administrator	married	cellular	may	mon	12	5	5099.1
24	student	single	cellular	apr	wed	74	1	5099.1
31	technician	married	cellular	aug	wed	78	2	5228.1
50	administrator	single	cellular	jun	wed	699	1	5076.2
60	retired	divorced	telephone	may	tue	198	2	5191
39	teacher	married	cellular	jul	mon	51	1	5228.1
34	independent	single	cellular	may	tue	245	1	5099.1
58	management	married	cellular	aug	tue	412	1	4991.6
31	unemployed	married	telephone	may	mon	169	4	5191
34	teacher	married	telephone	may	mon	513	1	5191
31	technician	married	cellular	may	mon	577	2	5099.1
53	teacher	married	cellular	nov	wed	205	2	5195.8
35	technician	single	cellular	aug	thu	133	1	5228.1
34	technician	single	cellular	aug	mon	237	1	5076.2
40	entrepreneur	married	cellular	jul	wed	279	3	5228.1
46	administrator	married	cellular	apr	thu	231	1	5099.1
33	technician	single	cellular	jul	fri	1422	2	5228.1
25	technician	married	telephone	jun	tue	157	5	5228.1
47	technician	married	telephone	may	tue	79	4	5191
56	management	married	telephone	may	tue	191	1	5191
41	administrator	married	telephone	may	wed	153	1	5191
44	technician	married	cellular	aug	wed	114	1	5228.1
58	retired	married	cellular	nov	mon	34	1	5195.8
36	administrator	married	cellular	nov	tue	141	2	5195.8
46	administrator	married	cellular	nov	thu	308	1	5195.8
38	technician	married	telephone	may	tue	297	2	5191
43	administrator	married	cellular	aug	mon	116	1	5228.1
33	technician	single	telephone	may	tue	422	2	5099.1
28	administrator	single	telephone	jun	mon	103	3	5228.1
54	teacher	married	telephone	may	fri	67	2	5191
29	technician	married	telephone	may	tue	492	2	5191
51	teacher	married	cellular	jul	wed	561	9	5228.1
69	services	married	telephone	jul	wed	396	2	5076.2
31	administrator	single	cellular	nov	fri	54	2	5195.8
27	unemployed	married	telephone	may	mon	470	1	5191
40	management	married	cellular	may	fri	253	1	5099.1
33	services	married	cellular	jun	wed	274	2	4991.6
34	teacher	divorced	telephone	jun	thu	884	4	5228.1
61	administrator	married	cellular	apr	thu	266	5	5099.1
72	retired	married	cellular	mar	fri	87	1	5008.7
34	technician	married	telephone	may	thu	24	1	5008.7
29	administrator	single	cellular	jul	fri	487	3	5228.1
40	administrator	single	telephone	may	mon	61	4	5191
28	independent	single	cellular	may	wed	57	1	5099.1
39	teacher	married	telephone	may	thu	285	1	5191
33	administrator	married	cellular	apr	thu	179	1	5099.1
29	teacher	married	telephone	jun	mon	166	1	5228.1
53	retired	divorced	cellular	jul	tue	84	3	5228.1
47	management	married	cellular	jun	tue	309	1	5076.2
53	services	married	cellular	jun	tue	501	3	5076.2
48	housemaid	married	cellular	aug	mon	148	1	5228.1
39	services	divorced	telephone	jun	thu	81	1	5228.1
38	technician	married	telephone	aug	mon	473	2	5076.2
22	services	single	cellular	jun	mon	181	1	5076.2
50	entrepreneur	married	telephone	may	mon	331	5	5099.1
47	teacher	divorced	telephone	may	mon	298	2	5191
31	technician	married	cellular	nov	thu	144	2	5195.8
42	administrator	single	cellular	jun	mon	570	3	5076.2
29	technician	single	cellular	nov	wed	648	1	5195.8
44	administrator	divorced	cellular	jul	thu	281	2	5228.1
49	entrepreneur	married	telephone	may	fri	142	2	5191
52	technician	divorced	cellular	nov	fri	123	1	5195.8
31	administrator	married	cellular	aug	tue	609	4	5228.1
50	administrator	married	telephone	jun	fri	513	3	5228.1
51	teacher	divorced	telephone	may	tue	128	2	5191
31	management	married	telephone	may	mon	100	8	5191
56	entrepreneur	married	telephone	jun	thu	315	1	5228.1
32	administrator	single	cellular	sep	thu	150	2	4963.6
40	technician	married	telephone	nov	tue	33	4	5195.8
36	technician	divorced	telephone	jul	wed	119	1	5228.1
39	technician	married	telephone	may	fri	407	1	5191
50	management	married	telephone	jul	thu	30	1	5228.1
55	retired	married	cellular	may	tue	43	5	5099.1
58	management	single	cellular	may	fri	90	1	5099.1
27	student	single	cellular	may	tue	41	1	5099.1
23	student	single	cellular	apr	mon	400	2	5099.1
58	retired	married	cellular	nov	fri	127	1	5195.8
31	teacher	married	telephone	jun	tue	481	6	5228.1
42	entrepreneur	married	telephone	jul	thu	485	2	5228.1
30	services	married	cellular	apr	thu	647	2	5099.1
28	unknown	single	telephone	may	wed	298	1	5191
45	entrepreneur	married	telephone	jun	tue	1516	2	5228.1
33	administrator	single	cellular	apr	mon	73	4	5099.1
48	administrator	divorced	cellular	aug	thu	172	3	4991.6
39	teacher	married	telephone	may	fri	159	4	5191
29	teacher	single	cellular	may	fri	340	2	5099.1
24	student	single	cellular	jun	thu	344	1	4991.6
50	unemployed	unknown	cellular	mar	fri	166	2	5099.1
28	technician	married	cellular	jul	mon	236	2	5228.1
37	technician	single	cellular	aug	thu	17	8	5228.1
35	independent	married	cellular	aug	thu	884	2	5228.1
64	housemaid	married	cellular	dec	thu	232	1	5023.5
25	student	single	cellular	aug	fri	248	1	5076.2
50	independent	married	cellular	aug	mon	311	1	5228.1
26	management	single	cellular	mar	thu	119	1	5099.1
60	retired	married	cellular	aug	wed	707	3	5228.1
37	administrator	single	cellular	jul	thu	114	4	4991.6
43	administrator	divorced	telephone	jul	mon	109	6	5228.1
37	management	married	cellular	aug	tue	409	1	5228.1
42	teacher	married	telephone	jun	fri	151	2	5228.1
55	entrepreneur	married	cellular	nov	thu	45	2	5195.8
46	technician	married	cellular	nov	mon	61	1	5195.8
41	teacher	married	telephone	jun	thu	89	1	5228.1
35	administrator	single	cellular	jul	fri	196	2	5228.1
27	teacher	single	cellular	jul	mon	80	3	5228.1
55	administrator	married	telephone	jul	wed	229	1	4991.6
40	management	single	cellular	nov	thu	541	1	5195.8
45	teacher	married	cellular	nov	mon	162	2	5017.5
38	technician	single	telephone	may	wed	566	2	5191
35	services	married	cellular	apr	mon	201	3	5099.1
28	teacher	single	cellular	may	mon	333	1	5099.1
59	retired	married	cellular	aug	tue	464	2	5228.1
53	administrator	divorced	telephone	jun	mon	53	2	5228.1
29	technician	single	cellular	may	thu	141	1	5099.1
30	services	married	telephone	jun	mon	83	4	5228.1
32	administrator	single	cellular	may	tue	144	5	5099.1
49	administrator	married	cellular	aug	thu	260	1	5228.1
31	administrator	single	telephone	jun	tue	116	1	5228.1
40	teacher	married	cellular	may	wed	954	1	5099.1
32	entrepreneur	married	telephone	may	tue	465	8	5191
35	administrator	single	cellular	may	thu	106	1	5099.1
42	teacher	married	cellular	jul	thu	214	1	5228.1
31	technician	single	telephone	apr	tue	207	17	5099.1
48	independent	divorced	cellular	aug	fri	166	1	4991.6
51	entrepreneur	single	cellular	nov	thu	139	1	5195.8
33	administrator	married	telephone	jun	mon	966	3	5228.1
31	administrator	single	cellular	aug	tue	92	2	5228.1
35	management	married	cellular	may	thu	597	3	5099.1
31	teacher	single	cellular	jul	fri	1081	2	5228.1
48	teacher	married	cellular	aug	thu	180	3	5228.1
51	management	married	telephone	may	thu	410	3	5191
25	administrator	single	telephone	may	tue	268	3	5191
59	services	married	cellular	aug	thu	93	7	5228.1
30	technician	single	cellular	jul	tue	136	2	5228.1
37	administrator	married	telephone	jun	wed	867	1	5228.1
40	technician	married	telephone	jun	mon	92	6	5228.1
35	retired	married	telephone	may	wed	759	1	5191
45	management	married	cellular	nov	tue	633	2	5195.8
34	administrator	single	cellular	aug	fri	82	3	5228.1
45	entrepreneur	married	telephone	jun	wed	46	16	5228.1
39	administrator	single	telephone	jun	mon	1075	2	5228.1
35	administrator	single	cellular	jul	fri	91	1	5228.1
60	teacher	married	cellular	aug	wed	165	1	5228.1
35	housemaid	married	telephone	jun	thu	56	1	5228.1
46	unemployed	married	cellular	may	mon	205	1	5099.1
28	independent	single	telephone	may	tue	518	2	5191
33	services	married	telephone	jun	fri	106	3	5228.1
35	independent	single	cellular	may	fri	1243	2	5099.1
30	teacher	divorced	telephone	may	wed	25	2	5191
34	independent	married	cellular	nov	wed	103	3	5195.8
32	services	married	telephone	may	thu	103	7	5191
60	administrator	married	cellular	jun	mon	324	3	5076.2
34	administrator	married	cellular	dec	tue	196	2	5023.5
47	teacher	married	telephone	jun	tue	388	9	5228.1
35	teacher	married	telephone	may	wed	306	5	5191
29	administrator	married	cellular	may	tue	57	1	5099.1
29	management	single	cellular	mar	mon	154	2	5008.7
40	administrator	divorced	cellular	jul	tue	193	6	5228.1
50	teacher	married	telephone	jul	tue	119	8	5228.1
24	services	single	cellular	may	mon	590	1	5099.1
30	unemployed	single	cellular	sep	tue	75	1	5017.5
37	administrator	married	cellular	aug	fri	239	3	5228.1
39	services	married	telephone	may	tue	132	2	5191
37	independent	married	cellular	may	thu	281	1	5099.1
29	teacher	married	telephone	may	wed	357	2	5191
31	teacher	married	cellular	apr	tue	84	1	5099.1
35	services	divorced	telephone	may	wed	294	3	5191
29	administrator	single	cellular	aug	thu	90	2	5228.1
42	independent	married	cellular	apr	thu	290	2	5099.1
40	services	married	cellular	apr	thu	161	1	5099.1
34	administrator	single	cellular	apr	tue	441	2	5099.1
37	administrator	married	cellular	aug	wed	356	1	5228.1
29	technician	single	telephone	may	mon	171	1	5191
44	teacher	married	cellular	apr	tue	314	1	5099.1
29	administrator	single	cellular	may	fri	553	2	5099.1
28	unemployed	single	telephone	jul	wed	167	1	5076.2
48	unemployed	married	telephone	may	wed	360	1	5008.7
30	administrator	single	telephone	jun	tue	483	1	5228.1
49	housemaid	single	cellular	dec	mon	334	3	5023.5
25	student	single	telephone	may	mon	11	6	5099.1
43	administrator	married	cellular	jul	tue	187	2	5228.1
32	teacher	married	cellular	jul	wed	147	1	5228.1
31	services	single	telephone	jun	tue	57	1	5228.1
28	student	single	cellular	jun	wed	208	4	5076.2
52	teacher	married	cellular	aug	wed	126	1	5228.1
48	teacher	married	cellular	jul	tue	97	5	5228.1
32	administrator	married	telephone	may	mon	175	1	5191
43	management	married	telephone	jul	thu	203	1	5228.1
52	administrator	married	cellular	jul	tue	139	2	4991.6
29	administrator	married	cellular	may	fri	1871	4	5099.1
55	unknown	married	cellular	jul	thu	1298	1	5228.1
48	teacher	divorced	telephone	jun	thu	583	1	5228.1
36	administrator	married	cellular	aug	thu	86	5	5228.1
42	technician	single	cellular	may	wed	531	2	5099.1
38	teacher	married	cellular	may	fri	218	1	5099.1
31	management	divorced	telephone	may	wed	198	3	5191
31	services	married	telephone	nov	fri	271	2	5017.5
38	teacher	married	cellular	may	wed	1975	5	5099.1
38	independent	married	cellular	apr	thu	779	2	5099.1
36	teacher	married	cellular	may	thu	156	2	5099.1
42	technician	divorced	cellular	may	tue	221	1	5099.1
43	administrator	married	cellular	jun	mon	288	1	5076.2
28	services	single	telephone	may	fri	148	2	5191
35	technician	single	cellular	jul	thu	105	5	5228.1
34	administrator	single	cellular	jul	thu	51	2	5228.1
51	teacher	divorced	telephone	may	tue	128	2	5191
55	administrator	divorced	telephone	may	wed	74	2	5191
50	administrator	divorced	cellular	may	mon	8	11	5099.1
46	services	married	telephone	jul	wed	83	3	5228.1
35	technician	married	cellular	may	mon	502	1	5099.1
42	administrator	married	telephone	may	mon	322	1	5191
